Name,Role,Institution,Google_Scholar_ID,Google_Scholar_URL,Citations,Match_Status
James Evans,Director,University of Chicago,kV4N4zoAAAAJ,https://scholar.google.com/citations?user=kV4N4zoAAAAJ,High,Found
Ian Foster,Affiliate Faculty,University of Chicago / Argonne,VGoSakQAAAAJ,https://scholar.google.com/citations?user=VGoSakQAAAAJ,151694,Found
Daniel Holz,Affiliate Faculty,University of Chicago,Yx4yXaUAAAAJ,https://scholar.google.com/citations?user=Yx4yXaUAAAAJ,143211,Found
Dan Weld,Affiliate Faculty,Allen Institute for AI,IUZgJogAAAAJ,https://scholar.google.com/citations?user=IUZgJogAAAAJ,60598,Found
David Wolpert,Affiliate Faculty,Santa Fe Institute,PRjgI8kAAAAJ,https://scholar.google.com/citations?user=PRjgI8kAAAAJ,47000,Found
Yong-Yeol Ahn,Affiliate Faculty,Indiana University,US7OSNgAAAAJ,https://scholar.google.com/citations?user=US7OSNgAAAAJ,15801,Found
Doug Downey,Affiliate Faculty,Allen Institute for AI,E8evkcQAAAAJ,https://scholar.google.com/citations?user=E8evkcQAAAAJ,14111,Found
Dashun Wang,Affiliate Faculty,Northwestern University,uQJAkBoAAAAJ,https://scholar.google.com/citations?user=uQJAkBoAAAAJ,13302,Found
Chenhao Tan,Affiliate Faculty,University of Chicago,KGMaP18AAAAJ,https://scholar.google.com/citations?user=KGMaP18AAAAJ,10406,Found
Iyad Rahwan,Affiliate Faculty,Max Planck Berlin,yKCX2IUAAAAJ,https://scholar.google.com/citations?user=yKCX2IUAAAAJ,High,Found
Ufuk Akcigit,Affiliate Faculty,University of Chicago,7xsyvJMAAAAJ,https://scholar.google.com/citations?user=7xsyvJMAAAAJ,High,Found
Fengli Xu,Affiliate Faculty,Tsinghua University,UJrlw1cAAAAJ,https://scholar.google.com/citations?user=UJrlw1cAAAAJ,4147,Found
Lingfei Wu,Affiliate Faculty,University of Pittsburgh,NoDUFVUAAAAJ,https://scholar.google.com/citations?user=NoDUFVUAAAAJ,3190,Found
Douglas Guilbeault,Affiliate Faculty,Stanford University,PDZ9tyAAAAAJ,https://scholar.google.com/citations?user=PDZ9tyAAAAAJ,1800,Found
Julia Koschinsky,Incoming Staff,University of Chicago,_lfIg5cAAAAJ,https://scholar.google.com/citations?user=_lfIg5cAAAAJ,1611,Found
Bernard Koch,Affiliate Faculty,University of Chicago,cBc_sIEAAAAJ,https://scholar.google.com/citations?user=cBc_sIEAAAAJ,1369,Found
Misha Teplitskiy,Affiliate Faculty,University of Michigan,DzSXZd9yYy8C,https://scholar.google.com/citations?user=DzSXZd9yYy8C,1136,Found
Bowen Lou,Affiliate Faculty,USC,2b1qCj8AAAAJ,https://scholar.google.com/citations?user=2b1qCj8AAAAJ,1077,Found
Molly Lewis,Affiliate Researcher,Meta,kckOzCAAAAAJ,https://scholar.google.com/citations?user=kckOzCAAAAAJ,951,Found
Eamon Duede,Affiliate Faculty,Purdue University,xjLKbBcAAAAJ,https://scholar.google.com/citations?user=xjLKbBcAAAAJ,912,Found
Aaron Schein,Affiliate Faculty,University of Chicago,CaHuRsgAAAAJ,https://scholar.google.com/citations?user=CaHuRsgAAAAJ,634,Found
Lav Varshney,Affiliate Faculty,University of Illinois,JIJGu30AAAAJ,https://scholar.google.com/citations?user=JIJGu30AAAAJ,High,Found
Jamshid Sourati,Affiliate Faculty,DePaul University,JeVyxh4AAAAJ,https://scholar.google.com/citations?user=JeVyxh4AAAAJ,515,Found
Hongbo Fang,Postdoctoral Scholar,University of Chicago,tMNsrlQAAAAJ,https://scholar.google.com/citations?user=tMNsrlQAAAAJ,500,Found
Jeffrey Lockhart,Postdoctoral Scholar,UC Berkeley,ptcuwrcAAAAJ,https://scholar.google.com/citations?user=ptcuwrcAAAAJ,Moderate,Found
Donghyun Kang,Postdoctoral Scholar,Yonsei University,YAvBYYoAAAAJ,https://scholar.google.com/citations?user=YAvBYYoAAAAJ,135,Found
Christopher Wolfram,PhD Student,University of Chicago,0j-LaCUAAAAJ,https://scholar.google.com/citations?user=0j-LaCUAAAAJ,107,Found
Pete Aceves,Affiliate Faculty,Johns Hopkins University,Gp8RrvMAAAAJ,https://scholar.google.com/citations?user=Gp8RrvMAAAAJ,15,Found
Jacy Anthis,PhD Student,University of Chicago,lRhxKSAAAAAJ,https://scholar.google.com/citations?user=lRhxKSAAAAAJ,Moderate,Found
Ziwen Chen,PhD Student,Stanford University,5GWXZ2sAAAAJ,https://scholar.google.com/citations?user=5GWXZ2sAAAAJ,Low,Found
Rui Wang,PhD Student,GW School of Business,,Not Found - common name,Unknown,Not Found
Rui Pan,PhD Student,Northwestern University,,Not Found - common name,Unknown,Not Found
Shilin Jia,Postdoctoral Scholar,Stanford University,,Not Found - has website but no GS,Unknown,Not Found
Hongkai Mao,PhD Student,Stanford University,,Not Found,Unknown,Not Found
Xiaodi Yang,Masters Student,University of Chicago,,Not Found,Unknown,Not Found
Muhua Huang,Masters Student,University of Chicago,,Not Found,Unknown,Not Found
Qixin Lin,Masters Student,University of Chicago,,Not Found,Unknown,Not Found
Ningzi Li,Postdoctoral Scholar,University of Chicago,,Not Found,Unknown,Not Found
Carina Kane,Undergraduate Student,University of Chicago,,Not Found - early career,Unknown,Not Found
Alejandro Sarria-Morales,Masters Student,University of Chicago,,Not Found,Unknown,Not Found
