Name,Role,Institution,Google_Scholar_ID,Google_Scholar_URL,GS_Citations,OA_Works,OA_Citations,Match_Status,Notes
Yong-Yeol Ahn,Affiliate Faculty,Indiana University,US7OSNgAAAAJ,https://scholar.google.com/citations?user=US7OSNgAAAAJ,15801,,,GS Found - Needs Verification,GS: 15801 citations
Ufuk Akcigit,Affiliate Faculty,University of Chicago,7xsyvJMAAAAJ,https://scholar.google.com/citations?user=7xsyvJMAAAAJ,High,,,GS Found - Needs Verification,GS: High citations
Jacy Anthis,PhD Student,University of Chicago,lRhxKSAAAAAJ,https://scholar.google.com/citations?user=lRhxKSAAAAAJ,Moderate,,,GS Found - Needs Verification,GS: Moderate citations
Honglin Bao,PhD Student,University of Chicago,,,,,,No Match Found,Early career or common name
Carolina Biliotti,PhD Student,"IMT School for Advanced Studies Lucca, Italy",,,,,,No Match Found,Early career or common name
Ben Blaiszik,Affiliate Faculty,University of Chicago,J-x5n7IAAAAJ,https://scholar.google.com/citations?user=J-x5n7IAAAAJ,9036,,,GS Found - Needs Verification,GS: 9036 citations
Levin Brinkmann,Affiliate Faculty,MPG-Berlin,cu1vsgEAAAAJ,https://scholar.google.com/citations?user=cu1vsgEAAAAJ,,,,GS Found - Needs Verification,GS profile found
Jake Burchard,PhD Student,University of Chicago,,,,3.0,22.0,Verified (OpenAlex),"OA: 3 works, 22 citations"
Ishanu Chattopadhyay,Affiliate Faculty,University of Chicago,JpUbOmsAAAAJ,https://scholar.google.com/citations?user=JpUbOmsAAAAJ,730,115.0,932.0,Verified (OpenAlex),"OA: 115 works, 932 citations"
Ziwen Chen,PhD Student,Stanford University,5GWXZ2sAAAAJ,https://scholar.google.com/citations?user=5GWXZ2sAAAAJ,Low,66.0,667.0,GS Found / OA Mismatch,"Institution mismatch: listed as 'Stanford University', OpenAlex shows ['Tan Kah Kee Innovation Laboratory', 'Sichuan University', 'Weifang University']"
Haochuan Cui,Postdoctoral Scholar,Stanford University,ol3DebgAAAAJ,https://scholar.google.com/citations?user=ol3DebgAAAAJ,52,,,GS Found - Needs Verification,GS: 52 citations
Cay del Junco,Alumni,,,,,,,No Match Found,Early career or common name
Bhargav Desikan,Affiliate Researcher,Institute for Public Policy Research (IPPR),JSMnASoAAAAJ,https://scholar.google.com/citations?user=JSMnASoAAAAJ,,,,GS Found - Needs Verification,GS profile found
Doug Downey,Affiliate Faculty,Allen Institute for AI,E8evkcQAAAAJ,https://scholar.google.com/citations?user=E8evkcQAAAAJ,14111,,,GS Found - Needs Verification,GS: 14111 citations
Eamon Duede,Affiliate Faculty,Purdue University,xjLKbBcAAAAJ,https://scholar.google.com/citations?user=xjLKbBcAAAAJ,912,,,GS Found - Needs Verification,GS: 912 citations
Chris Esposito,Postdoctoral Scholar,UCLA,,,,11.0,80.0,Partial Match,OA name: Christopher Esposito
Hongbo Fang,Postdoctoral Scholar,University of Chicago,tMNsrlQAAAAJ,https://scholar.google.com/citations?user=tMNsrlQAAAAJ,500,,,GS Found - Needs Verification,GS: 500 citations
Ian Foster,Affiliate Faculty,University of Chicago,VGoSakQAAAAJ,https://scholar.google.com/citations?user=VGoSakQAAAAJ,151694,,,GS Found - Needs Verification,GS: 151694 citations
Doug Guilbeault,Affiliate Faculty,Stanford University,PDZ9tyAAAAAJ,https://scholar.google.com/citations?user=PDZ9tyAAAAAJ,1832,57.0,1204.0,Partial Match,OA name: Douglas Guilbeault
Daniel Holz,Affiliate Faculty,University of Chicago,Yx4yXaUAAAAJ,https://scholar.google.com/citations?user=Yx4yXaUAAAAJ,143211,,,GS Found - Needs Verification,GS: 143211 citations
Muhua Huang,Masters Student,University of Chicago,,Not Found,Unknown,45.0,482.0,Wrong Match,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows ['First Affiliated Hospital of Nanchang University', 'Nanchang University', 'First Affiliated Hospital of Jiangxi Medical College']"
Joshua Jackson,Affiliate Faculty,University of Chicago,cqmbIlIAAAAJ,https://scholar.google.com/citations?user=cqmbIlIAAAAJ,2954,142.0,4296.0,Partial Match,OA name: Joshua Conrad Jackson
Shilin Jia,Postdoctoral Scholar,Stanford University,,Not Found - has website but no GS,Unknown,28.0,171.0,Wrong Match,"Institution mismatch: listed as 'Stanford University', OpenAlex shows ['Hospital of Stomatology, Sun Yat-sen University', 'Hohai University', 'Stomatology Hospital']"
Partha Kadambi,Masters Student,,,,,1.0,1.0,Verified (OpenAlex),"OA: 1 works, 1 citations"
Carina Kane,Undergraduate Student,University of Chicago,,Not Found - early career,Unknown,2.0,1.0,Wrong Match,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows []"
Donghyun Kang,Postdoctoral Scholar,University of Chicago,YAvBYYoAAAAJ,https://scholar.google.com/citations?user=YAvBYYoAAAAJ,135,,,GS Found - Needs Verification,GS: 135 citations
Bernard Koch,Affiliate Faculty,University of Chicago,cBc_sIEAAAAJ,https://scholar.google.com/citations?user=cBc_sIEAAAAJ,1369,,,GS Found - Needs Verification,GS: 1369 citations
Austin Kozlowski,Assistant Director,University of Chicago,1DYGGpMAAAAJ,https://scholar.google.com/citations?user=1DYGGpMAAAAJ,,,,GS Found - Needs Verification,GS profile found
Nadav Kunievsky,Postdoctoral Scholar,University of Chicago,,,,4.0,9.0,Verified (OpenAlex),"OA: 4 works, 9 citations"
Hyunku Kwon,PhD Student,University of Chicago,,,,,,No Match Found,Early career or common name
Shiyang Lai,PhD Student,,,,,,,No Match Found,Early career or common name
Molly Lewis,Affiliate Researcher,Meta,kckOzCAAAAAJ,https://scholar.google.com/citations?user=kckOzCAAAAAJ,951,,,GS Found - Needs Verification,GS: 951 citations
Ningzi Li,Postdoctoral Scholar,University of Chicago,,Not Found,Unknown,1.0,14.0,Wrong Match,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows ['University of Colorado Denver']"
Qixin Lin,Masters Student,University of Chicago,,Not Found,Unknown,4.0,57.0,Wrong Match,"Institution mismatch: listed as 'University of Chicago', OpenAlex shows ['Fujian Normal University']"
Chen Lin,PhD Student,Hong Kong University of Science and Technology,,,,11.0,29.0,Verified (OpenAlex),"OA: 11 works, 29 citations"
Hsin-Keng Ling,Alumni,University of Michigan,,,,3.0,7.0,Verified (OpenAlex),"OA: 3 works, 7 citations"
Bowen Lou,Affiliate Faculty,USC,2b1qCj8AAAAJ,https://scholar.google.com/citations?user=2b1qCj8AAAAJ,1077,26.0,732.0,Verified (OpenAlex),"OA: 26 works, 732 citations"
Jar-Der Luo,Affiliate Faculty,Tsinghua University,,,,,,No Match Found,Early career or common name
Hongkai Mao,PhD Student,Stanford University,,Not Found,Unknown,2.0,95.0,Wrong Match,"Institution mismatch: listed as 'Stanford University', OpenAlex shows ['Yancheng Institute of Technology', 'Jiangsu University']"
