Name,Role,Institution,Has Bio,Has Website,OpenAlex Found,Works Count,Citations,h-index,Top Topics
Rui Wang,PhD Student,GW School of Business,True,True,True,2091,69907,117.0,"Sulfur Compounds in Biology, Ion channel regulation and function, Nitric Oxide and Endothelin Effects"
Rui Pan,PhD Student,Northwestern University,True,False,True,224,7693,43.0,"Advanced Sensor and Energy Harvesting Materials, Microfluidic and Capillary Electrophoresis Applications, Innovative Microfluidic and Catalytic Techniques Innovation"
Zhao Wang,Affiliate Faculty,University of Chicago,True,True,True,273,7261,43.0,"Advanced Polymer Synthesis and Characterization, Advanced biosensing and bioanalysis techniques, Silicone and Siloxane Chemistry"
Xiaodi Yang,Masters Student,University of Chicago,True,False,True,150,5176,36.0,"Electrochemical sensors and biosensors, Conducting polymers and applications, Advanced biosensing and bioanalysis techniques"
Joshua Jackson,Affiliate Faculty,University of Chicago,True,True,True,142,4296,30.0,"Cultural Differences and Values, Evolutionary Game Theory and Cooperation, Social and Intergroup Psychology"
Lingfei Wu,Affiliate Faculty,University of Pittsburgh,True,True,True,71,3190,20.0,"Complex Network Analysis Techniques, Opinion Dynamics and Social Influence, earthquake and tectonic studies"
Doug Guilbeault,Affiliate Faculty,Stanford University,True,True,True,57,1204,12.0,"Opinion Dynamics and Social Influence, Categorization, perception, and language, Misinformation and Its Impacts"
Ishanu Chattopadhyay,Affiliate Faculty,University of Chicago,True,False,True,115,932,17.0,"Formal Methods in Verification, Petri Nets in System Modeling, Influenza Virus Research Studies"
Bowen Lou,Affiliate Faculty,USC,True,True,True,26,732,9.0,"Big Data and Business Intelligence, Innovation and Knowledge Management, Digital Platforms and Economics"
Ziwen Chen,PhD Student,Stanford University,True,True,True,66,667,16.0,"Ferroptosis and cancer prognosis, Nuclear Receptors and Signaling, Retinoids in leukemia and cellular processes"
Muhua Huang,Masters Student,University of Chicago,True,False,True,45,482,14.0,"Functional Brain Connectivity Studies, Multiple Sclerosis Research Studies, Neural dynamics and brain function"
Wenxuan  Shi,PhD Student,Wuhan University,True,False,True,41,430,11.0,"Advanced Image and Video Retrieval Techniques, Advanced Image Fusion Techniques, Image and Signal Denoising Methods"
Di Tong,PhD Student,MIT,True,True,True,42,415,10.0,"Microbial Community Ecology and Physiology, Bacteriophages and microbial interactions, Soil Carbon and Nitrogen Dynamics"
Jamshid Sourati,Affiliate Faculty,Depaul University,False,False,True,24,304,9.0,"Machine Learning and Algorithms, Algorithms and Data Compression, Machine Learning in Materials Science"
Shilin Jia,Postdoctoral Scholar,Stanford University,True,False,True,28,171,8.0,"Geotechnical Engineering and Analysis, Landslides and related hazards, Neuropeptides and Animal Physiology"
Bill Shi,Affiliate Researcher,Pond,True,True,True,21,163,7.0,"Glaucoma and retinal disorders, Retinal Imaging and Analysis, Cannabis and Cannabinoid Research"
Christopher Wolfram,PhD Student,University of Chicago,True,True,True,6,141,4.0,"Coronary Interventions and Diagnostics, Micro and Nano Robotics, 3D Printing in Biomedical Research"
Hongkai Mao,PhD Student,Stanford University,True,False,True,2,95,1.0,"Magnetic Properties and Synthesis of Ferrites, Multiferroics and related materials, Catalysis and Hydrodesulfurization Studies"
Chris Esposito,Postdoctoral Scholar,UCLA,True,True,True,11,80,4.0,"Innovation Diffusion and Forecasting, Regional Economics and Spatial Analysis, Innovation and Knowledge Management"
Qixin Lin,Masters Student,University of Chicago,True,True,True,4,57,3.0,"Land Use and Ecosystem Services, Wildlife-Road Interactions and Conservation, Soil and Land Suitability Analysis"
Chen Lin,PhD Student,Hong Kong University of Science and Technology,True,True,True,11,29,3.0,"Fluid Dynamics Simulations and Interactions, Cavitation Phenomena in Pumps, Hydraulic and Pneumatic Systems"
Jake Burchard,PhD Student,University of Chicago,True,True,True,3,22,2.0,"Complex Network Analysis Techniques, Opinion Dynamics and Social Influence, Political Economy and Marxism"
Pete Aceves,Affiliate Faculty,Johns Hopkins University,True,True,True,3,15,2.0,"Microfinance and Financial Inclusion, Economic Growth and Development, Poverty, Education, and Child Welfare"
Ningzi Li,Postdoctoral Scholar,University of Chicago,True,True,True,1,14,1.0,"Intergenerational Family Dynamics and Caregiving, Financial Literacy, Pension, Retirement Analysis, Microfinance and Financial Inclusion"
Nadav Kunievsky,Postdoctoral Scholar,University of Chicago,True,True,True,4,9,2.0,"Economic Growth and Development, Intellectual Property and Patents, Energy, Environment, Economic Growth"
Hsin-Keng Ling,Alumni,University of Michigan,True,False,True,3,7,1.0,"Social Media and Politics, Misinformation and Its Impacts, Hate Speech and Cyberbullying Detection"
Nicolás Torres-Echeverry,PhD Student,University of Chicago,True,True,True,1,2,1.0,"Media Influence and Politics, Social Media and Politics, Politics and Society in Latin America"
Carina Kane,Undergraduate Student,University of Chicago,True,False,True,2,1,1.0,"Text Readability and Simplification, Primary Care and Health Outcomes, Labor market dynamics and wage inequality"
Partha Kadambi,Masters Student,,True,False,True,1,1,1.0,"Social and Behavioral Studies, Personality Traits and Psychology, Mental Health via Writing"
Alejandro Sarria-Morales,Masters Student,University of Chicago,True,False,False,0,0,,
Lav Varshney,Affiliate Faculty,University of Illinois,True,True,True,1,0,0.0,
