doc_id,paper_key,title,doi,year,venue,citation_missing,citation_count,log1p_citations,title_word_count,edge_author_ids,profile_owner_ids,lab_link_ids,lab_author_names,lab_author_roles,topic_count,profile_link_count,lab_link_count,topics,title_bin,text_surprise_score,representation_contrast_proxy,role_aware_reward,reward_quadrant,author_composition
doc-10.1007/978-981-95-3830-0_32,doi:10.1007/978-981-95-3830-0_32,A Large Language Model Guided Topic Refinement Mechanism for Short Text Modeling,10.1007/978-981-95-3830-0_32,2026,Lecture notes in computer science,False,0,0.0,12,rui-wang; muhua-huang,rui-wang,rui-wang; muhua-huang,Rui Wang; Muhua Huang,PhD Student; Masters Student,10,1,2,Advanced Neuroimaging Techniques and Applications; Functional Brain Connectivity Studies; Heme Oxygenase-1 and Carbon Monoxide; Ion channel regulation and function; Multiple Sclerosis Research Studies; Neural dynamics and brain function; Neuroscience of respiration and sleep; Nitric Oxide and Endothelin Effects; Photoreceptor and optogenetics research; Sulfur Compounds in Biology,11-14 words,0.42,0.7333333333333333,0.615,Hidden Gem,Solo PhD student
doc-10.17632/k3xcndsswk.3,doi:10.17632/k3xcndsswk.3,"Animals, Food, and Technology (AFT) Survey 2017–2025",10.17632/k3xcndsswk.3,2026,Mendeley Data,False,0,0.0,8,jacy-anthis,jacy-anthis,jacy-anthis,Jacy Anthis,PhD Student,5,1,1,Animal Behavior and Welfare Studies; Death Anxiety and Social Exclusion; Ethics and Social Impacts of AI; Psychology of Moral and Emotional Judgment; Social and Intergroup Psychology,7-10 words,0.23066666666666666,0.2833333333333333,0.2825,Routine,Solo PhD student
doc-10.1007/s10940-025-09615-9,doi:10.1007/s10940-025-09615-9,"""EBK"": Using Crowd-Sourced Social Media Data to Quantify How Hyperlocal Gang Affiliations Shape Networks and Violence in Chicago",10.1007/s10940-025-09615-9,2025,Journal of Quantitative Criminology,False,0,0.0,18,nakwon-rim,nakwon-rim,nakwon-rim,Nakwon Rim,PhD Student,5,1,1,Aesthetic Perception and Analysis; Crime Patterns and Interventions; Mental Health Research Topics; Neural and Behavioral Psychology Studies; Urban Green Space and Health,15-19 words,0.868,0.2833333333333333,0.2825,False Positive,Solo PhD student
doc-10.48550/arxiv.2510.15905,doi:10.48550/arxiv.2510.15905,"""She's Like a Person but Better"": Characterizing Companion-Assistant Dynamics in Human-AI Relationships",10.48550/arxiv.2510.15905,2025,arXiv (Cornell University),False,0,0.0,12,jacy-anthis,jacy-anthis,jacy-anthis,Jacy Anthis,PhD Student,5,1,1,Animal Behavior and Welfare Studies; Death Anxiety and Social Exclusion; Ethics and Social Impacts of AI; Psychology of Moral and Emotional Judgment; Social and Intergroup Psychology,11-14 words,0.484,0.2833333333333333,0.2825,False Positive,Solo PhD student
doc-10.1515/9783111085722-019,doi:10.1515/9783111085722-019,19 Big Data and the Computational Social Science of Entrepreneurship and Innovation,10.1515/9783111085722-019,2025,,False,0,0.0,12,ningzi-li; shiyang-lai; james-evans,shiyang-lai,ningzi-li; shiyang-lai; james-evans,Ningzi Li; Shiyang Lai; James Evans,Postdoctoral Scholar; PhD Student; Director,13,1,3,"Biomedical Text Mining and Ontologies; Complex Network Analysis Techniques; Complex Systems and Time Series Analysis; Digital Marketing and Social Media; FinTech, Crowdfunding, Digital Finance; Financial Literacy, Pension, Retirement Analysis; Intergenerational Family Dynamics and Caregiving; Market Dynamics and Volatility; Microfinance and Financial Inclusion; Scientific Computing and Data Management; Scientometrics and Bibliometrics Research; Sharing Economy and Platforms",11-14 words,0.444,0.6708333333333333,0.64,Aligned Surprise,Mixed (faculty + PhD)
doc-10.1088/2632-2153/ae011a,doi:10.1088/2632-2153/ae011a,"32 examples of LLM applications in materials science and chemistry: towards automation, assistants, agents, and accelerated scientific discovery",10.1088/2632-2153/ae011a,2025,Machine Learning Science and Technology,False,2,1.0986122886681098,18,joshua-jackson; ben-blaiszik,ben-blaiszik,joshua-jackson; ben-blaiszik,Joshua Jackson; Ben Blaiszik,Affiliate Faculty; Affiliate Faculty,10,1,2,"Computational Drug Discovery Methods; Cultural Differences and Values; Distributed and Parallel Computing Systems; Evolutionary Game Theory and Cooperation; Machine Learning in Materials Science; Polymer composites and self-healing; Psychology of Moral and Emotional Judgment; Religion, Spirituality, and Psychology; Scientific Computing and Data Management; Social and Intergroup Psychology",15-19 words,0.908,0.6708333333333333,0.515,Aligned Surprise,Faculty + Faculty
doc-10.48550/arxiv.2505.03049,doi:10.48550/arxiv.2505.03049,"34 Examples of LLM Applications in Materials Science and Chemistry: Towards Automation, Assistants, Agents, and Accelerated Scientific Discovery",10.48550/arxiv.2505.03049,2025,arXiv (Cornell University),False,0,0.0,18,joshua-jackson; ben-blaiszik,ben-blaiszik,joshua-jackson; ben-blaiszik,Joshua Jackson; Ben Blaiszik,Affiliate Faculty; Affiliate Faculty,10,1,2,"Computational Drug Discovery Methods; Cultural Differences and Values; Distributed and Parallel Computing Systems; Evolutionary Game Theory and Cooperation; Machine Learning in Materials Science; Polymer composites and self-healing; Psychology of Moral and Emotional Judgment; Religion, Spirituality, and Psychology; Scientific Computing and Data Management; Social and Intergroup Psychology",15-19 words,0.908,0.4708333333333333,0.39499999999999996,False Positive,Faculty + Faculty
doc-10.1111/liv.70433,doi:10.1111/liv.70433,<scp>SIRT5</scp> Facilitates Liver Steatosis Progression via Promoting <scp>SDH</scp> Desuccinylation During High‐Fat Diet Feeding,10.1111/liv.70433,2025,Liver International,False,0,0.0,18,chen-lin; shilin-jia,shilin-jia,chen-lin; shilin-jia,Chen Lin; Shilin Jia,PhD Student; Postdoctoral Scholar,10,1,2,Atomic and Molecular Physics; Cavitation Phenomena in Pumps; Fluid Dynamics Simulations and Interactions; Geotechnical Engineering and Analysis; Geotechnical Engineering and Soil Stabilization; Hydraulic and Pneumatic Systems; Landslides and related hazards; Neuroinflammation and Neurodegeneration Mechanisms; Neuropeptides and Animal Physiology; Personality Disorders and Psychopathology,15-19 words,0.78,0.5333333333333333,0.495,Aligned Surprise,Solo PhD student
doc-10.1109/icgmrs66001.2025.11065635,doi:10.1109/icgmrs66001.2025.11065635,A Novel Cloud Detection Approach Integrating Mamba and Multi-scale Feature Fusion for Remote Sensing Images,10.1109/icgmrs66001.2025.11065635,2025,,False,0,0.0,15,wenxuan--shi; haohan-shi,wenxuan--shi,wenxuan--shi; haohan-shi,Wenxuan  Shi; Haohan Shi,PhD Student; Alumni,10,1,2,Academic Writing and Publishing; Advanced Image Fusion Techniques; Advanced Image and Video Retrieval Techniques; Advanced Neural Network Applications; Advanced Text Analysis Techniques; Hate Speech and Cyberbullying Detection; Image Enhancement Techniques; Image and Signal Denoising Methods; Misinformation and Its Impacts; Social Media and Politics,15-19 words,0.624,0.5333333333333333,0.495,Aligned Surprise,Solo PhD student
doc-10.1016/j.icheatmasstransfer.2025.109985,doi:10.1016/j.icheatmasstransfer.2025.109985,A PINN-based transformer model for heat transfer prediction in freeze-drying process,10.1016/j.icheatmasstransfer.2025.109985,2025,International Communications in Heat and Mass Transfer,False,1,0.6931471805599453,11,chen-lin; rui-pan,rui-pan,chen-lin; rui-pan,Chen Lin; Rui Pan,PhD Student; PhD Student,10,1,2,Advanced Sensor and Energy Harvesting Materials; Atomic and Molecular Physics; Cavitation Phenomena in Pumps; Electrowetting and Microfluidic Technologies; Fluid Dynamics Simulations and Interactions; Hydraulic and Pneumatic Systems; Innovative Microfluidic and Catalytic Techniques Innovation; Microfluidic and Bio-sensing Technologies; Microfluidic and Capillary Electrophoresis Applications; Personality Disorders and Psychopathology,11-14 words,0.36,0.4708333333333333,0.39499999999999996,Routine,Other KLab author config
doc-10.1017/psa.2025.10160,doi:10.1017/psa.2025.10160,A Priori Knowledge in an Era of Computational Opacity: The Role of Artificial Intelligence in Mathematical Discovery,10.1017/psa.2025.10160,2025,Philosophy of Science,False,0,0.0,17,eamon-duede,eamon-duede,eamon-duede,Eamon Duede,Affiliate Faculty,5,1,1,Data Quality and Management; Explainable Artificial Intelligence (XAI); Philosophy and History of Science; Scientific Computing and Data Management; scientometrics and bibliometrics research,15-19 words,0.784,0.48333333333333334,0.40249999999999997,False Positive,Solo faculty
doc-10.3390/aisens1020008,doi:10.3390/aisens1020008,A Review of Non-Invasive Continuous Blood Pressure Measurement: From Flexible Sensing to Intelligent Modeling,10.3390/aisens1020008,2025,AI Sensors,False,2,1.0986122886681098,14,ningzi-li; rui-pan,rui-pan,ningzi-li; rui-pan,Ningzi Li; Rui Pan,Postdoctoral Scholar; PhD Student,8,1,2,"Advanced Sensor and Energy Harvesting Materials; Electrowetting and Microfluidic Technologies; Financial Literacy, Pension, Retirement Analysis; Innovative Microfluidic and Catalytic Techniques Innovation; Intergenerational Family Dynamics and Caregiving; Microfinance and Financial Inclusion; Microfluidic and Bio-sensing Technologies; Microfluidic and Capillary Electrophoresis Applications",11-14 words,0.6040000000000001,0.4583333333333333,0.44999999999999996,False Positive,Solo PhD student
doc-10.31234/osf.io/xucka_v3,doi:10.31234/osf.io/xucka_v3,A Simple Threshold Captures the Social Learning of Conventions,10.31234/osf.io/xucka_v3,2025,,False,0,0.0,9,douglas-guilbeault; xiaodi-yang; doug-guilbeault,doug-guilbeault; douglas-guilbeault,douglas-guilbeault; xiaodi-yang; doug-guilbeault,Douglas Guilbeault; Xiaodi Yang; Doug Guilbeault,Affiliate Faculty; Masters Student; Affiliate Faculty,10,2,3,"Advanced biosensing and bioanalysis techniques; Categorization, perception, and language; Color perception and design; Conducting polymers and applications; Electrochemical Analysis and Applications; Electrochemical sensors and biosensors; Language, Metaphor, and Cognition; Misinformation and Its Impacts; Opinion Dynamics and Social Influence; Organic Electronics and Photovoltaics",7-10 words,0.24,0.5666666666666667,0.565,Hidden Gem,Faculty + Faculty
